	Player Name	Team Name	League Name
1	Full Name: Jose Miguel Cabrera	DET	AL
2	Full Name: Yasiel Puig	LAD	NL
3	Full Name: Aramis Nin Ramirez	MIL	NL
4	Full Name: José Antonio Bautista	TOR	AL
5	Full Name: Robinson Jose Canó	SEA	AL
6	Full Name: Yoenis Céspedes	2 teams	-
7	Full Name: Nelson Ramon Cruz	BAL	AL
8	Full Name: Carlos Argelis Gómez	MIL	NL
9	Full Name: Alexei Fernando Ramirez	CWS	AL
10	Full Name: José Dariel Abreu	CWS	AL
11	Full Name: Starlin DeJesus Castro	CHC	NL
12	Full Name: Miguel Angel Montero	ARI	NL
13	Full Name: Salvador Johan Perez	KC	AL
14	Full Name: José Carlos Altuve	HOU	AL
15	Full Name: Adrian Beltre	TEX	AL
